scenario,policy,position,window_index,prompt_id,domain,hits,misses,hit_rate,cumulative_hit_rate
lru_break,lru,5,0,code_006,code,3055,5213,0.3694968553459119,0.36109763002507483
lru_break,lru,6,0,code_001,code,3396,5808,0.36897001303780963,0.36233292416803053
lru_break,lru,7,0,code_002,code,2953,5003,0.37116641528406236,0.3633879781420765
lru_break,lru,8,0,code_003,code,2574,5070,0.336734693877551,0.36064425770308123
lru_break,lru,9,0,code_004,code,2968,5300,0.358974358974359,0.3604769521593718
lru_break,lru,10,0,code_005,code,2921,5191,0.36008382642998027,0.3604417670682731
lru_break,lru,11,0,code_006,code,3055,5213,0.3694968553459119,0.361198738170347
lru_break,lru,12,0,code_001,code,3396,5808,0.36897001303780963,0.36186036186036186
lru_break,lru,13,0,code_002,code,2953,5003,0.37116641528406236,0.36249827681279295
lru_break,lru,14,0,code_003,code,2574,5070,0.336734693877551,0.360906327804184
lru_break,lru,15,0,code_004,code,2968,5300,0.358974358974359,0.3607852942959326
lru_break,lru,16,0,code_005,code,2921,5191,0.36008382642998027,0.3607446747758552
lru_break,lru,17,0,code_006,code,3055,5213,0.3694968553459119,0.3612324408854377
lru_break,lru,18,1,math_001,math,3353,5851,0.3642981312472838,0.36141152576796143
lru_break,lru,19,1,math_002,math,3417,6255,0.353287841191067,0.36094168580176045
lru_break,lru,20,1,math_003,math,3353,5851,0.3642981312472838,0.36111677888866217
lru_break,lru,21,1,math_004,math,1781,3679,0.3261904761904762,0.36006839072876806
lru_break,lru,22,1,math_005,math,2551,4937,0.3406784188034188,0.3593017361551134
lru_break,lru,23,1,math_006,math,2187,3897,0.3594674556213018,0.35930689422309536
lru_break,lru,24,1,math_001,math,3355,5849,0.3645154280747501,0.35954111944965605
lru_break,lru,25,1,math_002,math,3417,6255,0.353287841191067,0.35925894823274734
lru_break,lru,26,1,math_003,math,3353,5851,0.3642981312472838,0.35946642331848194
lru_break,lru,27,1,math_004,math,1781,3679,0.3261904761904762,0.3586730594564382
lru_break,lru,28,1,math_005,math,2551,4937,0.3406784188034188,0.35810330830119746
lru_break,lru,29,1,math_006,math,2187,3897,0.3594674556213018,0.3581375216423448
lru_break,lru,30,1,math_001,math,3355,5849,0.3645154280747501,0.3583706669208528
lru_break,lru,31,1,math_002,math,3417,6255,0.353287841191067,0.3581826387613977
